Subject,trial_number,State_1,State_2,State_3,outcome_type,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_shock,State_2_shock
M102,0,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M102,1,2,4,6,moves_entered,10.0783041766299,12.15024052985973,13.80547727209705,,0.0,0.0,0.0,0.0
M102,2,2,4,6,moves_entered,10.587272788743576,12.102490725097596,13.946602070118388,,1.0,0.0,1.0,1.0
M102,3,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M102,4,2,4,6,moves_entered,9.680391703317582,11.937342063887627,14.801136319889338,,0.0,0.0,1.0,0.0
M102,5,2,4,6,moves_entered,9.79303519525638,12.484451671927673,14.639313334202598,,0.0,0.0,1.0,0.0
M102,6,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,1.0
M102,7,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,0.0,0.0
M102,8,1,3,5,moves_entered,9.927124691574136,11.981107752890239,14.738203224718745,,0.0,0.0,0.0,0.0
M102,9,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M102,10,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,1.0
M102,11,2,4,6,moves_entered,9.78962014325225,12.145282645597035,13.8870927302778,,0.0,0.0,1.0,0.0
M102,12,1,3,5,moves_entered,9.07582138494763,11.901487030536373,14.799050533867558,,1.0,0.0,1.0,0.0
M102,13,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M102,14,1,3,5,moves_entered,9.01733803357638,12.208162516573793,14.299847725233121,,0.0,0.0,0.0,0.0
M102,15,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M102,16,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,0.0
M102,17,1,3,5,moves_entered,10.036222581587936,12.208679025614401,13.92897247505607,,1.0,0.0,1.0,0.0
M102,18,2,4,6,moves_entered,9.857102401012526,11.777984463220491,14.122943211117672,,0.0,0.0,1.0,0.0
M102,19,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
